impl,n,q,total_ns,total_s,ns_per_search,cache_refs,cache_misses,misses_per_search,miss_rate,bytes,l1_refs,l1_misses,l1_rate,l2_refs,l2_misses,l2_rate,l3_refs,l3_misses,l3_rate,branches,branch_misses,branch_rate
BST_EYT_PREF,7500000,10000000,2.56477e+09,2.56477,256.477,2.85796e+08,8.20733e+07,8.20733,0.287174,28548772,4.86764e+08,1.26963e+08,0.260831,0,0,0,1.04754e+07,467943,0.0446707,5.93068e+08,6.05431e+07,0.102085
BST_EYT_PREF_TWO,7500000,10000000,3.06649e+09,3.06649,306.649,3.12372e+08,8.69706e+07,8.69706,0.27842,28548772,9.02893e+08,1.09503e+08,0.12128,0,0,0,9.74133e+06,338021,0.0346997,9.34445e+08,6.46776e+07,0.069215
BST_EYT_PREF_THREE,7500000,10000000,2.61485e+09,2.61485,261.485,2.87061e+08,8.17538e+07,8.17538,0.284796,28548772,1.69967e+09,8.88896e+07,0.0522983,0,0,0,8.97031e+06,125075,0.0139432,1.84946e+09,1.72544e+06,0.000932943
BST_EYT_PREF_FOUR,7500000,10000000,7.42858e+09,7.42858,742.858,6.66821e+08,1.01401e+08,10.1401,0.152066,28548772,4.83482e+09,7.83266e+07,0.0162005,0,0,0,1.10759e+07,31063.8,0.00280463,6.39869e+09,6.34123e+07,0.00991019
BST_EYT_PREF_PROB,7500000,10000000,3.3581e+09,3.3581,335.81,2.19697e+08,6.66369e+07,6.66369,0.303312,28548772,3.03222e+08,1.02494e+08,0.338017,0,0,0,6.24453e+07,1.5823e+07,0.25339,5.49357e+08,5.91093e+07,0.107597
BST_VEB,8000000,10000000,2.68192e+09,2.68192,268.192,4.06255e+08,2.08572e+08,20.8572,0.513401,30450156,2.89684e+08,1.40488e+08,0.48497,0,0,0,7.80022e+07,2.82439e+07,0.362091,4.28116e+08,5.98821e+07,0.139874
BST_EYT,8000000,10000000,2.87066e+09,2.87066,287.066,2.23676e+08,6.98652e+07,6.98652,0.31235,30450156,1.60766e+08,1.04966e+08,0.652909,0,0,0,6.35324e+07,1.65247e+07,0.260098,3.6714e+08,5.52058e+07,0.150367
BST_EYT_PREF,8000000,10000000,2.57834e+09,2.57834,257.834,2.96511e+08,8.58111e+07,8.58111,0.289403,30450156,4.8822e+08,1.29139e+08,0.26451,0,0,0,1.09244e+07,483085,0.0442205,5.94954e+08,6.08414e+07,0.102262
BST_EYT_PREF_TWO,8000000,10000000,3.0925e+09,3.0925,309.25,3.13099e+08,9.09099e+07,9.09099,0.290355,30450156,9.06349e+08,1.11099e+08,0.122579,0,0,0,1.0396e+07,363044,0.0349213,9.36858e+08,6.49646e+07,0.069343
BST_EYT_PREF_THREE,8000000,10000000,2.65658e+09,2.65658,265.658,2.87477e+08,8.52959e+07,8.52959,0.296705,30450156,1.70607e+09,9.05097e+07,0.0530515,0,0,0,8.98083e+06,120659,0.0134351,1.85477e+09,1.3737e+06,0.000740629
BST_EYT_PREF_FOUR,8000000,10000000,7.46992e+09,7.46992,746.992,6.86033e+08,1.06573e+08,10.6573,0.155347,30450156,4.85182e+09,7.98418e+07,0.016456,0,0,0,1.15322e+07,30803,0.00267104,6.4191e+09,6.37957e+07,0.00993842
